category,name,quote
Ramayana,Bhagwan Ram,"The seventh avatar of Vishnu; Prince of Ayodhya, revered as maryada purushottama, the ideal man."
Ramayana,Sita,"Daughter of King Janak and Rama's wife, an incarnation of Lakshmi celebrated for her devotion and inner strength."
Ramayana,Lakshman,"Rama's devoted younger brother, who chose fourteen years of exile at his side."
Ramayana,Bharat,"Rama's brother, who ruled Ayodhya as regent and placed Rama's sandals on the throne in his stead."
Ramayana,Shatrughna,"The youngest of the four royal brothers, twin of Lakshman and loyal supporter of Bharat."
Ramayana,Hanuman,"Vanara devotee whose boundless devotion to Rama and heroic leap to Lanka made him a symbol of selfless service."
Ramayana,Urmila,"Lakshman's wife, remembered for her quiet sacrifice while he accompanied Rama into exile."
Ramayana,Shabari,"A humble devotee who waited a lifetime in the forest for the chance to offer Rama her berries."
Ramayana,Jatayu,"The aged vulture king who gave his life fighting Ravana in an attempt to save Sita."
Mahabharata,Bhagwan Krishna,"The eighth avatar of Vishnu; Arjun's charioteer and guide, whose counsel on the battlefield became the Bhagavad Gita."
Mahabharata,Draupadi,"Wife of the five Pandavas, whose humiliation in the Kaurava court became a turning point of the epic."
Mahabharata,Arjun,"The third Pandava, a peerless archer and the direct recipient of Krishna's teachings."
Mahabharata,Yudhishthir,"Eldest Pandava and king, called Dharmaraja for his unwavering commitment to truth."
Mahabharata,Bhishma,"The grand patriarch who took a lifelong vow of celibacy and could choose the moment of his own death."
Mahabharata,Vidur,"The wise and impartial minister of Hastinapur, remembered for his integrity and counsel."
Mahabharata,Abhimanyu,"Arjun's son, who bravely broke into the Chakravyuha formation but could not find his way out."
Mahabharata,Ekalavya,A self-taught archer who famously gave his thumb as guru-dakshina to Dronacharya.
Sages & Devotees,Maharishi Vashisht,"The royal sage and guru of the Raghu dynasty, including Rama."
Sages & Devotees,Maharishi Ved Vyas,The sage credited with compiling the Mahabharata and organizing the Vedas.
Sages & Devotees,Prahlad,A young devotee of Vishnu whose unshakeable faith survived every trial his father put him through.
Sages & Devotees,Dhruv,A child whose determined penance to Vishnu earned him a place as the eternal pole star.
Sages & Devotees,Nachiketa,"A boy from the Katha Upanishad whose questions to Yama, the god of death, revealed the nature of the eternal Self."
Sages & Devotees,Raja Janak,"The philosopher-king of Mithila and Sita's father, revered for ruling while remaining spiritually detached."
Sages & Devotees,Savitri,A devoted wife whose wit and resolve won her husband Satyavan's life back from Yama.
Sages & Devotees,Gargi,A Vedic philosopher renowned for boldly questioning the sage Yajnavalkya in the court of King Janak.
Sages & Devotees,Namdev,"A 13th-century poet-saint and contemporary of Sant Gyaneshwar, whose devotional verses to Vitthal are also included in the Guru Granth Sahib."
Sages & Devotees,Ambarish Raja,"A devoted king whose unwavering faith and humility, even under a sage's curse, showed the protective power of surrender to God."
Acharyas & Gurus,Adi Shankaracharya,An 8th-century philosopher who traveled across India establishing four mathas and systematizing Advaita Vedanta.
Acharyas & Gurus,Ramanujacharya,"An 11th-century philosopher-saint who founded Vishishtadvaita, the philosophy of qualified non-dualism."
Acharyas & Gurus,Madhvacharya,"A 13th-century philosopher who founded Dvaita, the school of dualistic Vedanta."
Acharyas & Gurus,Nimbarkacharya,"A philosopher-saint who founded Dvaitadvaita, teaching simultaneous oneness and difference with the divine."
Acharyas & Gurus,Vallabhacharya,The philosopher-saint who founded the Pushtimarg tradition of devotion to Krishna.
Acharyas & Gurus,Kunti,"Mother of the Pandavas, revered for her unwavering devotion and resilience through a lifetime of hardship."
Acharyas & Gurus,Ramakrishna Paramahansa,A 19th-century mystic whose God-realization across faiths inspired a generation of seekers.
Acharyas & Gurus,Swami Vivekananda,"Ramakrishna's disciple, who introduced Vedanta to the world at Chicago's 1893 Parliament of Religions."
Bhakti Saints,Sant Kabir,A 15th-century poet-saint whose dohas cut across caste and creed to point directly at the divine.
Bhakti Saints,Sant Tukaram,"When our perspective remains positive, even humiliation loses its power."
Bhakti Saints,Sant Gyanneshwar,"A 13th-century saint who wrote the Dnyaneshwari, a celebrated commentary on the Bhagavad Gita, in his teens."
Bhakti Saints,Sant Ravidas,A poet-saint whose verses on equality and devotion transcended the caste barriers of his time.
Bhakti Saints,Sant Tulsidas,"Author of the Ramcharitmanas, which brought the story of Rama to millions in the language of the people."
Bhakti Saints,Sant Surdas,A blind poet-saint whose verses on Krishna's childhood remain central to Krishna bhakti.
Bhakti Saints,Narsinh Mehta,"A Gujarati poet-saint whose bhajans, including ""Vaishnav Jan To"", celebrate compassion and devotion."
Bhakti Saints,Guru Nanak Dev,"Founder of Sikhism, who taught one formless God and the equality of all people."
Bhakti Saints,Samarth Ramdas,"A saint and spiritual guide to Chhatrapati Shivaji Maharaj, author of the Dasbodh."
Bhakti Saints,Meera Bai,A Rajput princess whose passionate devotional songs to Krishna made her one of India's best-loved poet-saints.
Bhakti Saints,Mata Sharda Devi,"Spiritual companion of Ramakrishna Paramahansa, revered in her own right as the Holy Mother."
Warriors & Rulers,Chhatrapati Shivaji Maharaj,"Founder of the Maratha Empire, celebrated for his statecraft and swarajya, or self-rule."
Warriors & Rulers,Maharana Pratap,"The Rajput king of Mewar, remembered for his defiance against Mughal rule and devotion to his homeland."
Warriors & Rulers,Rani Lakshmibai,"The Rani of Jhansi, whose courage leading her army in 1857 made her an icon of resistance."
Warriors & Rulers,Emperor Ashoka,"The Mauryan emperor who, after the Kalinga war, embraced Buddhism and ruled through dhamma."
Warriors & Rulers,Chandragupta Maurya,"Founder of the Maurya Empire, guided by his mentor Chanakya to unify much of the Indian subcontinent."
Warriors & Rulers,Chanakya,"When purpose is greater than self, no insult, hardship, or limitation can stop you."
Scholars & Poets,Aryabhata,The 5th-century mathematician-astronomer who calculated pi and explained the rotation of the Earth.
Scholars & Poets,Kalidasa,"Classical India's greatest poet-dramatist, author of Shakuntala and Meghaduta."
Scholars & Poets,Sushruta,"The ancient physician regarded as the father of surgery, author of the Sushruta Samhita."
Scholars & Poets,Charaka,The physician-scholar whose Charaka Samhita is a foundational text of Ayurveda.
Scholars & Poets,Rabindranath Tagore,"Poet and philosopher, the first non-European Nobel laureate in Literature, for Gitanjali."
